Tarih,Ev,Dep,Lig,Tahmin,AlinanOran,KapanisOran,CLV,CLVYuzde,GercekSonuc
09.03.2026 03:44,Exeter City,Lincoln City,Championship,Ev Sahibi Kazanır,4.3,4.3,0.0,0.0,
09.03.2026 03:44,Galatasaray,Liverpool,Champions League,Ev Sahibi Kazanır,4.5,4.5,0.0,0.0,ev
09.03.2026 03:44,Lazio,Sassuolo,Serie A,Deplasman Kazanır,3.7,3.7,0.0,0.0,ev
09.03.2026 03:44,Tondela,Rio Ave FC,Primeira Liga,Deplasman Kazanır,4.0,4.0,0.0,0.0,dep
09.03.2026 03:44,Newcastle United,Barcelona,Champions League,Deplasman Kazanır,2.32,2.32,0.0,0.0,dep
09.03.2026 03:44,Paris Saint Germain,Chelsea,Champions League,Deplasman Kazanır,4.1,4.1,0.0,0.0,
09.03.2026 03:44,Espanyol,Oviedo,La Liga,Ev Sahibi Kazanır,1.96,1.96,0.0,0.0,ber
09.03.2026 20:12,Real Madrid,Manchester City,Champions League,Ev Sahibi Kazanır,3.65,3.65,0.0,0.0,dep
09.03.2026 22:24,VfB Stuttgart,Porto,Europa League,Deplasman Kazanır,3.65,3.65,0.0,0.0,
09.03.2026 22:24,Angers,Nice,Ligue 1,Ev Sahibi Kazanır,3.31,3.31,0.0,0.0,
09.03.2026 22:24,Torino,Parma,Serie A,Deplasman Kazanır,4.2,4.2,0.0,0.0,ev
09.03.2026 22:24,Nottingham Forest,Fulham,Premier League,Deplasman Kazanır,3.5,3.5,0.0,0.0,
09.03.2026 22:24,Real Sociedad,CA Osasuna,La Liga,Deplasman Kazanır,4.36,4.36,0.0,0.0,
09.03.2026 22:24,Sunderland,Brighton and Hove Albion,Premier League,Ev Sahibi Kazanır,3.5,3.5,0.0,0.0,
09.03.2026 22:24,Vitória SC,Famalicão,Primeira Liga,Deplasman Kazanır,3.1,3.1,0.0,0.0,
09.03.2026 22:24,Celta Vigo,Lyon,Europa League,Deplasman Kazanır,3.75,3.75,0.0,0.0,
09.03.2026 22:24,Manchester United,Aston Villa,Premier League,Deplasman Kazanır,4.6,4.6,0.0,0.0,
09.03.2026 22:24,Borussia Monchengladbach,FC St. Pauli,Bundesliga,Deplasman Kazanır,4.46,4.46,0.0,0.0,
09.03.2026 22:24,Heerenveen,SC Telstar,Eredivisie,Deplasman Kazanır,5.0,5.0,0.0,0.0,
09.03.2026 22:51,Northampton Town,Burton Albion,Championship,Ev Sahibi Kazanır,2.68,2.68,0.0,0.0,
09.03.2026 22:51,Oviedo,Valencia,La Liga,Deplasman Kazanır,2.7,2.7,0.0,0.0,
09.03.2026 22:51,Nacional,Estoril,Primeira Liga,Deplasman Kazanır,2.85,2.85,0.0,0.0,
09.03.2026 22:51,Sassuolo,Bologna,Serie A,Ev Sahibi Kazanır,2.8,2.8,0.0,0.0,
09.03.2026 22:51,Lille,Aston Villa,Europa League,Ev Sahibi Kazanır,3.1,3.1,0.0,0.0,
09.03.2026 22:51,Rennes,Lille,Ligue 1,Ev Sahibi Kazanır,2.5,2.49,0.004,0.4,
09.03.2026 22:51,Hellas Verona,Genoa,Serie A,Deplasman Kazanır,2.52,2.52,0.0,0.0,
09.03.2026 22:51,Mallorca,Espanyol,La Liga,Deplasman Kazanır,3.35,3.35,0.0,0.0,
09.03.2026 22:51,Real Betis,Celta Vigo,La Liga,Deplasman Kazanır,3.6,3.6,0.0,0.0,
09.03.2026 22:51,Pisa,Cagliari,Serie A,Ev Sahibi Kazanır,2.72,2.72,0.0,0.0,
09.03.2026 22:51,Bologna,AS Roma,Europa League,Deplasman Kazanır,2.6,2.6,0.0,0.0,
09.03.2026 22:57,Lazio,AC Milan,Serie A,Deplasman Kazanır,2.12,2.12,0.0,0.0,
09.03.2026 23:39,Crystal Palace,Leeds United,Premier League,Deplasman Kazanır,3.3,3.3,0.0,0.0,
09.03.2026 23:39,Wigan Athletic,Plymouth Argyle,Championship,Ev Sahibi Kazanır,2.82,2.84,-0.007,-0.7,
09.03.2026 23:39,Como,AS Roma,Serie A,Deplasman Kazanır,3.65,3.65,0.0,0.0,
09.03.2026 23:39,Chelsea,Newcastle United,Premier League,Deplasman Kazanır,4.21,4.21,0.0,0.0,
09.03.2026 23:39,Go Ahead Eagles,NAC Breda,Eredivisie,Ev Sahibi Kazanır,2.27,2.27,0.0,0.0,
09.03.2026 23:39,Bayer Leverkusen,Bayern Munich,Bundesliga,Ev Sahibi Kazanır,5.0,4.98,0.004,0.4,
09.03.2026 23:39,FC Volendam,Fortuna Sittard,Eredivisie,Deplasman Kazanır,2.92,2.929,-0.003,-0.3,
09.03.2026 23:39,Rotherham United,Bolton Wanderers,Championship,Ev Sahibi Kazanır,4.35,4.35,0.0,0.0,
09.03.2026 23:47,Cremonese,Fiorentina,Serie A,Ev Sahibi Kazanır,4.0,4.0,0.0,0.0,
10.03.2026 19:30,Hamburger SV,1. FC Köln,Bundesliga,Deplasman Kazanır,4.47,4.47,0.0,0.0,
11.03.2026 02:09,FC Porto,Moreirense FC,Primeira Liga,Ev Sahibi Kazanır,1.86,1.86,0.0,0.0,
11.03.2026 03:06,Mansfield Town,Barnsley,Championship,Deplasman Kazanır,3.3,3.917,-0.1575,-15.75,
11.03.2026 03:06,AVS Futebol SAD,Santa Clara,Primeira Liga,Ev Sahibi Kazanır,4.7,4.7,0.0,0.0,
11.03.2026 03:06,Werder Bremen,FSV Mainz 05,Bundesliga,Deplasman Kazanır,3.17,3.189,-0.006,-0.6,
11.03.2026 03:59,SC Freiburg,Union Berlin,Bundesliga,Ev Sahibi Kazanır,2.19,2.094,0.046,4.6,
11.03.2026 03:59,FC Zwolle,Groningen,Eredivisie,Ev Sahibi Kazanır,2.95,2.95,0.0,0.0,
11.03.2026 05:38,Burnley,Bournemouth,Premier League,Ev Sahibi Kazanır,4.2,4.103,0.0235,2.35,
12.03.2026 03:24,Chelsea,Paris Saint Germain,Champions League,Deplasman Kazanır,3.1,3.1,0.0,0.0,
14.03.2026 01:37,Santos,Internacional,Brasileirao,Deplasman Kazanır,3.44,3.44,0.0,0.0,
14.03.2026 01:37,Bournemouth,Manchester United,Premier League,Ev Sahibi Kazanır,3.15,3.15,0.0,0.0,
14.03.2026 01:37,RB Leipzig,TSG Hoffenheim,Bundesliga,Deplasman Kazanır,3.73,3.73,0.0,0.0,
14.03.2026 01:37,Lyon,Celta Vigo,Europa League,Deplasman Kazanır,4.35,4.35,0.0,0.0,
14.03.2026 15:17,Metz,Toulouse,Ligue 1,Deplasman Kazanır,2.05,2.04,0.005,0.5,
14.03.2026 15:17,Ajax,Sparta Rotterdam,Eredivisie,Deplasman Kazanır,4.7,4.089,0.1494,14.94,
14.03.2026 16:37,Rayo Vallecano,Levante,La Liga,Beraberlik,4.0,4.0,0.0,0.0,
14.03.2026 16:37,VfB Stuttgart,RB Leipzig,Bundesliga,Ev Sahibi Kazanır,2.52,2.714,-0.0715,-7.15,
14.03.2026 18:30,Villarreal,Real Sociedad,La Liga,Deplasman Kazanır,4.23,4.23,0.0,0.0,
14.03.2026 18:30,CF Estrela,Casa Pia,Primeira Liga,Deplasman Kazanır,3.09,3.183,-0.0291,-2.91,
17.03.2026 03:50,Tottenham Hotspur,Atlético Madrid,Champions League,Deplasman Kazanır,2.62,2.62,0.0,0.0,
17.03.2026 03:50,Bologna,Lazio,Serie A,Deplasman Kazanır,3.7,3.7,0.0,0.0,
17.03.2026 03:50,FC Zwolle,NAC Breda,Eredivisie,Ev Sahibi Kazanır,2.25,2.25,0.0,0.0,
