Tarih,KuponID,Tur,ToplamOran,BirlesikP,Edge,Mac1Ev,Mac1Dep,Mac1Tahmin,Mac1Oran,Mac1Sonuc,Mac2Ev,Mac2Dep,Mac2Tahmin,Mac2Oran,Mac2Sonuc,Mac3Ev,Mac3Dep,Mac3Tahmin,Mac3Oran,Mac3Sonuc,KuponSonuc,KazanılanKat,KuponTelegramBildirildi
09.03.2026 03:39,09032026_2li_1,2li,15.91,0.1837,1.9231,Real Madrid,Manchester City,Ev Sahibi Kazanır,3.70,ev,Exeter City,Lincoln City,Ev Sahibi Kazanır,4.30,,,,,,,bekliyor,,1
09.03.2026 03:39,09032026_2li_2,2li,16.65,0.1628,1.7103,Real Madrid,Manchester City,Ev Sahibi Kazanır,3.70,dep,Galatasaray,Liverpool,Ev Sahibi Kazanır,4.50,ev,,,,,,kaybetti,0,1
09.03.2026 03:39,09032026_2li_3,2li,19.35,0.1368,1.6479,Exeter City,Lincoln City,Ev Sahibi Kazanır,4.30,,Galatasaray,Liverpool,Ev Sahibi Kazanır,4.50,,,,,,,bekliyor,,1
09.03.2026 03:39,09032026_3lu_1,3lu,36.91,0.0991,2.6587,Real Madrid,Manchester City,Ev Sahibi Kazanır,3.70,ev,Exeter City,Lincoln City,Ev Sahibi Kazanır,4.30,,Newcastle United,Barcelona,Deplasman Kazanır,2.32,,bekliyor,,1
09.03.2026 03:39,09032026_3lu_2,3lu,31.18,0.1115,2.4777,Real Madrid,Manchester City,Ev Sahibi Kazanır,3.70,ev,Exeter City,Lincoln City,Ev Sahibi Kazanır,4.30,,Espanyol,Oviedo,Ev Sahibi Kazanır,1.96,,bekliyor,,1
09.03.2026 03:44,09032026_2li_1,2li,15.91,0.1837,1.9231,Real Madrid,Manchester City,Ev Sahibi Kazanır,3.70,ev,Exeter City,Lincoln City,Ev Sahibi Kazanır,4.30,,,,,,,bekliyor,,1
09.03.2026 03:44,09032026_2li_2,2li,16.65,0.1628,1.7103,Real Madrid,Manchester City,Ev Sahibi Kazanır,3.70,dep,Galatasaray,Liverpool,Ev Sahibi Kazanır,4.50,ev,,,,,,kaybetti,0,1
09.03.2026 03:44,09032026_2li_3,2li,19.35,0.1368,1.6479,Exeter City,Lincoln City,Ev Sahibi Kazanır,4.30,,Galatasaray,Liverpool,Ev Sahibi Kazanır,4.50,,,,,,,bekliyor,,1
09.03.2026 03:44,09032026_3lu_1,3lu,36.91,0.0991,2.6587,Real Madrid,Manchester City,Ev Sahibi Kazanır,3.70,ev,Exeter City,Lincoln City,Ev Sahibi Kazanır,4.30,,Newcastle United,Barcelona,Deplasman Kazanır,2.32,,bekliyor,,1
09.03.2026 03:44,09032026_3lu_2,3lu,31.18,0.1115,2.4777,Real Madrid,Manchester City,Ev Sahibi Kazanır,3.70,ev,Exeter City,Lincoln City,Ev Sahibi Kazanır,4.30,,Espanyol,Oviedo,Ev Sahibi Kazanır,1.96,,bekliyor,,1
09.03.2026 20:12,09032026_2li_1,2li,16.43,0.1628,1.6737,Real Madrid,Manchester City,Ev Sahibi Kazanır,3.65,dep,Galatasaray,Liverpool,Ev Sahibi Kazanır,4.50,ev,,,,,,kaybetti,0,1
09.03.2026 20:12,09032026_2li_2,2li,15.69,0.1617,1.5380,Real Madrid,Manchester City,Ev Sahibi Kazanır,3.65,ev,Exeter City,Lincoln City,Ev Sahibi Kazanır,4.30,,,,,,,bekliyor,,1
09.03.2026 20:12,09032026_2li_3,2li,19.35,0.1204,1.3306,Galatasaray,Liverpool,Ev Sahibi Kazanır,4.50,ev,Exeter City,Lincoln City,Ev Sahibi Kazanır,4.30,,,,,,,bekliyor,,1
09.03.2026 20:12,09032026_3lu_1,3lu,38.43,0.0878,2.3754,Real Madrid,Manchester City,Ev Sahibi Kazanır,3.65,dep,Galatasaray,Liverpool,Ev Sahibi Kazanır,4.50,ev,Newcastle United,Barcelona,Deplasman Kazanır,2.34,dep,kaybetti,0,1
09.03.2026 20:12,09032026_3lu_2,3lu,36.73,0.0872,2.2041,Real Madrid,Manchester City,Ev Sahibi Kazanır,3.65,ev,Exeter City,Lincoln City,Ev Sahibi Kazanır,4.30,,Newcastle United,Barcelona,Deplasman Kazanır,2.34,,bekliyor,,1
09.03.2026 20:27,09032026_2li_1,2li,16.43,0.1628,1.6737,Real Madrid,Manchester City,Ev Sahibi Kazanır,3.65,dep,Galatasaray,Liverpool,Ev Sahibi Kazanır,4.50,ev,,,,,,kaybetti,0,1
09.03.2026 20:27,09032026_2li_2,2li,15.69,0.1617,1.5380,Real Madrid,Manchester City,Ev Sahibi Kazanır,3.65,ev,Exeter City,Lincoln City,Ev Sahibi Kazanır,4.30,,,,,,,bekliyor,,1
09.03.2026 20:27,09032026_2li_3,2li,19.35,0.1204,1.3306,Galatasaray,Liverpool,Ev Sahibi Kazanır,4.50,ev,Exeter City,Lincoln City,Ev Sahibi Kazanır,4.30,,,,,,,bekliyor,,1
09.03.2026 20:27,09032026_3lu_1,3lu,38.43,0.0878,2.3754,Real Madrid,Manchester City,Ev Sahibi Kazanır,3.65,dep,Galatasaray,Liverpool,Ev Sahibi Kazanır,4.50,ev,Newcastle United,Barcelona,Deplasman Kazanır,2.34,dep,kaybetti,0,1
09.03.2026 20:27,09032026_3lu_2,3lu,36.73,0.0872,2.2041,Real Madrid,Manchester City,Ev Sahibi Kazanır,3.65,ev,Exeter City,Lincoln City,Ev Sahibi Kazanır,4.30,,Newcastle United,Barcelona,Deplasman Kazanır,2.34,,bekliyor,,1
09.03.2026 20:43,09032026_2li_1,2li,15.69,0.1837,1.8836,Real Madrid,Manchester City,Ev Sahibi Kazanır,3.65,ev,Exeter City,Lincoln City,Ev Sahibi Kazanır,4.30,,,,,,,bekliyor,,1
09.03.2026 20:43,09032026_2li_2,2li,16.43,0.1628,1.6737,Real Madrid,Manchester City,Ev Sahibi Kazanır,3.65,dep,Galatasaray,Liverpool,Ev Sahibi Kazanır,4.50,ev,,,,,,kaybetti,0,1
09.03.2026 20:43,09032026_2li_3,2li,19.35,0.1368,1.6479,Exeter City,Lincoln City,Ev Sahibi Kazanır,4.30,,Galatasaray,Liverpool,Ev Sahibi Kazanır,4.50,,,,,,,bekliyor,,1
09.03.2026 20:43,09032026_3lu_1,3lu,36.73,0.0991,2.6403,Real Madrid,Manchester City,Ev Sahibi Kazanır,3.65,ev,Exeter City,Lincoln City,Ev Sahibi Kazanır,4.30,,Newcastle United,Barcelona,Deplasman Kazanır,2.34,,bekliyor,,1
