Tarih,Ev,Dep,Lig,Tahmin,Oran,Olasilik,Edge,EfektifEdge,FairP,PiyasaSapma,PiyasaUyum,OverRound,SharpPiyasa,EvELO,DepELO,Konsensus,MC-Analitik,LamEv,LamDep,1.5Uz,2.5Uz,3.5Uz,BTS,EvForm,DepForm,EvMomentum,DepMomentum,EvSeri,DepSeri,H2HGuven,H2HMac,AgirlikELO,AgirlikPoisson,AgirlikForm,MacTarihi,SharpSinyal,HareketGucu,EvHareket,DepHareket,IlkEvOran,IlkDepOran,KitapSayisi,PinnacleVar,GercekSonuc,TelegramBildirildi,RL_Ogrenildi
09.03.2026 03:44,Lazio,Sassuolo,Serie A,Deplasman Kazanır,3.7,0.3663,0.3553,0.3108,0.2691,0.0972,0.792,1.0043,1,1463.5,1512.0,0.974,0.974,1.237,1.3,0.709,0.451,0.249,0.502,0.389,0.547,0.0,0.333,MBMGM,BMMGG,0.0,0,0.39,0.34,0.06,2026-03-09T19:45:00Z,YOK,0.000,0.0,0.0,0.0,0.0,1.0,0.0,ev,1,1
09.03.2026 03:44,Tondela,Rio Ave FC,Primeira Liga,Deplasman Kazanır,4.0,0.3319,0.3276,0.2836,0.2471,0.0848,0.754,1.0116,1,1390.3,1363.9,0.949,0.949,1.315,1.179,0.703,0.447,0.237,0.489,0.373,0.25,0.167,-0.5,GMBBB,BMMMM,0.0,0,0.4,0.33,0.05,2026-03-09T20:15:00Z,YOK,0.000,0.0,0.0,0.0,0.0,1.0,0.0,dep,1,1
09.03.2026 03:44,Newcastle United,Barcelona,Champions League,Deplasman Kazanır,2.32,0.5395,0.2516,0.2226,0.4288,0.1107,0.832,1.0052,1,1576.4,1751.0,0.974,0.974,1.34,2.126,0.854,0.663,0.448,0.629,0.591,0.717,0.333,0.0,MMGMG,MGGMG,0.0,0,0.4,0.33,0.05,2026-03-10T20:00:00Z,YOK,0.000,0.0,0.0,0.0,0.0,1.0,0.0,dep,1,1
09.03.2026 03:44,Espanyol,Oviedo,La Liga,Ev Sahibi Kazanır,1.96,0.607,0.1897,0.1604,0.509,0.098,0.794,1.0024,1,1443.3,1332.3,0.961,0.961,1.771,0.922,0.74,0.499,0.286,0.489,0.368,0.141,-0.5,0.0,GMMMB,BMMBM,0.0,0,0.42,0.32,0.05,2026-03-09T20:00:00Z,YOK,0.000,0.0,0.0,0.0,0.0,1.0,0.0,ber,1,1
09.03.2026 20:12,Real Madrid,Manchester City,Champions League,Ev Sahibi Kazanır,3.65,0.4675,0.7064,0.6312,0.2743,0.1932,1.0,0.9988,1,1704.9,1689.2,0.968,0.968,1.441,1.173,0.729,0.483,0.27,0.515,0.794,0.645,-0.333,0.667,GGGGM,MMBGG,0.0,0,0.4,0.33,0.06,2026-03-11T20:00:00Z,YOK,0.000,0.0,0.0,0.0,0.0,1.0,0.0,dep,1,1
09.03.2026 22:24,Angers,Nice,Ligue 1,Ev Sahibi Kazanır,3.31,0.5136,0.7,0.6683,0.2933,0.2203,1.0,1.0648,0,1455.5,1398.8,0.956,0.956,1.509,1.039,0.715,0.466,0.258,0.495,0.576,0.149,0.333,0.333,GMGGM,MMGMM,0.0,0,0.41,0.32,0.05,2026-03-14T18:00:00Z,YOK,0.000,0.0,0.0,3.31,2.45,41.0,1.0,dep,1,1
09.03.2026 22:24,Torino,Parma,Serie A,Deplasman Kazanır,4.2,0.3852,0.6178,0.5932,0.2332,0.152,0.956,1.0612,0,1409.9,1466.2,0.978,0.978,1.008,1.063,0.617,0.343,0.159,0.409,0.433,0.678,0.667,0.333,MMGMG,BMGGB,0.0,0,0.38,0.34,0.06,2026-03-13T19:45:00Z,YOK,0.000,0.0,0.0,2.23,4.2,41.0,1.0,ev,1,1
09.03.2026 22:24,Nottingham Forest,Fulham,Premier League,Deplasman Kazanır,3.5,0.4249,0.4871,0.4875,0.2822,0.1427,0.928,1.0594,1,1422.5,1498.6,0.975,0.975,1.144,1.366,0.708,0.46,0.247,0.503,0.303,0.495,0.167,-0.167,MBBBM,BMMMG,0.0,0,0.38,0.34,0.06,2026-03-15T14:00:00Z,YOK,0.000,0.0,0.0,2.28,3.5,41.0,1.0,ber,1,1
09.03.2026 22:24,Real Sociedad,CA Osasuna,La Liga,Deplasman Kazanır,4.36,0.3343,0.4575,0.4294,0.2313,0.103,0.809,1.0652,0,1519.1,1492.4,0.945,0.945,1.397,1.342,0.75,0.51,0.294,0.55,0.674,0.402,0.333,0.167,BGGGB,MGGBM,0.0,0,0.4,0.33,0.05,2026-03-15T20:00:00Z,YOK,0.000,0.0,0.0,1.96,4.36,36.0,1.0,ev,1,1
09.03.2026 22:24,Vitória SC,Famalicão,Primeira Liga,Deplasman Kazanır,3.1,0.46,0.426,0.3914,0.3199,0.1401,0.92,1.0825,0,1436.6,1530.8,0.961,0.961,0.88,1.215,0.611,0.351,0.166,0.4,0.64,0.335,0.5,-0.167,GMGGB,MGMMB,0.0,0,0.39,0.33,0.06,2026-03-14T15:30:00Z,YOK,0.000,0.0,0.0,2.45,3.1,34.0,1.0,dep,1,1
09.03.2026 22:24,Manchester United,Aston Villa,Premier League,Deplasman Kazanır,4.6,0.302,0.3892,0.3873,0.2266,0.0754,0.726,1.0588,1,1615.6,1557.3,0.951,0.951,1.639,1.24,0.779,0.542,0.326,0.561,0.874,0.535,0.167,0.0,BGGGG,MBGBM,0.0,0,0.41,0.32,0.05,2026-03-15T14:00:00Z,YOK,0.000,0.0,0.0,1.8,4.6,41.0,1.0,ev,1,1
09.03.2026 22:51,Oviedo,Valencia,La Liga,Deplasman Kazanır,2.7,0.498,0.3446,0.2958,0.3751,0.1229,0.869,1.0617,0,1332.3,1475.4,0.965,0.965,0.919,1.274,0.634,0.378,0.188,0.424,0.384,0.341,-0.167,0.0,BBGMM,MGMGM,0.0,0,0.4,0.33,0.06,2026-03-14T17:30:00Z,YOK,0.000,1.6,0.0,3.1,2.7,37.0,1.0,ev,1,1
09.03.2026 22:51,Nacional,Estoril,Primeira Liga,Deplasman Kazanır,2.85,0.4652,0.3258,0.2905,0.3403,0.1249,0.875,1.096,0,1416.5,1535.3,0.988,0.988,1.626,1.884,0.857,0.673,0.461,0.673,0.346,0.342,-0.667,0.0,BGBMM,MGGMM,0.0,0,0.39,0.33,0.06,2026-03-15T15:30:00Z,YOK,0.000,0.0,0.0,2.51,2.85,35.0,1.0,dep,1,1
09.03.2026 22:51,Sassuolo,Bologna,Serie A,Ev Sahibi Kazanır,2.8,0.4615,0.2922,0.2702,0.3558,0.1057,0.817,1.0653,0,1512.0,1472.0,0.921,0.921,1.391,1.568,0.796,0.562,0.337,0.589,0.62,0.667,0.167,0.167,MGMGG,BGMGG,0.0,0,0.4,0.33,0.05,2026-03-15T14:00:00Z,YOK,0.000,0.0,0.0,2.8,2.8,40.0,1.0,dep,1,1
09.03.2026 22:51,Hellas Verona,Genoa,Serie A,Deplasman Kazanır,2.52,0.5057,0.2744,0.2464,0.3937,0.112,0.836,1.0619,0,1325.4,1465.8,0.972,0.972,1.062,1.613,0.741,0.489,0.276,0.517,0.165,0.316,0.167,-0.167,MMMBM,BBMBM,0.0,0,0.4,0.33,0.06,2026-03-15T11:30:00Z,YOK,0.000,0.0,0.0,3.45,2.52,40.0,1.0,dep,1,1
